m1_src,m2_src,Mc,eta,z,dL,Lambda1,Lambda2,chi1z,chi2z,ra,dec,theta,phi,iota,psi,tGPS,tcoal,Phicoal,LambdaTilde,deltaLambda
1.814179454715255,1.1349610160657133,2.8030374971243868,0.23673925190966738,1.2561672248684768,8.996149594956998,41.31213917896854,920.6452411209619,-0.04483182788313923,-0.03968761311640674,4.386679423564178,-0.7236573518138929,2.2944536786087895,4.386679423564178,2.1947242100576956,1.6731790486836187,1646417565.5289063,0.22254226983858827,4.443711395787703,231.14406739774847,76.18971038393676
1.807926537911269,1.193595128339646,6.035470708395738,0.23952720784656542,3.739764378528716,33.84802962456257,42.45591546618742,695.7108019315876,0.0031354631568148023,0.040255290667956675,3.3683928122457423,-0.458740661629911,2.0295369884248076,3.3683928122457423,2.8143604139351037,0.16280844256437652,1657699426.5183773,0.15714530591874754,0.9584310732101232,200.25070607097024,61.714557771258626
1.449681490774395,1.2797916155532925,3.7256188349960304,0.24903146043961488,2.143164217254089,17.324519462677983,210.96485442672946,458.6336780895165,0.0040635121610106545,0.0005252372447857173,1.9448193708165753,-0.7023051256293473,2.273101452424244,1.9448193708165753,2.2615640912337427,1.057473527540916,1668167860.400418,0.6513062456741603,3.620926557298738,313.9026720844194,29.363005505568402
2.0995285189418262,1.6657209283619705,4.482177650924617,0.24668146199668853,1.7568516968801349,13.590232892567403,8.979800477425256,80.56618379648286,0.013742990149820652,0.03264574661077417,5.113224910878622,-0.9659595687141165,2.536755895509013,5.113224910878622,1.4039400403817708,0.42227616160612685,1663717926.2479978,0.006425819672905181,3.812103065077541,33.36211333241385,9.57047747798882
2.109553552926614,1.7745760551608263,2.974529758987389,0.24814055280212802,0.7672824214255981,4.904814816164372,8.428470487184748,49.266333643691546,0.022609133372266152,-0.017995039896938826,4.302292842758384,-0.8613585893192233,2.43215491611412,4.302292842758384,1.728601365421937,0.1990983416587172,1666068617.2421339,0.28798800742014835,2.6648916022513665,23.865077022704984,5.899999696722729
1.3773062501587483,1.1102305631628853,1.900216170253846,0.2471181612029383,0.7672203121589098,4.904328942748316,291.64010650553536,1045.668631725002,0.04758520794625347,0.039552322849620056,1.021752363990335,-0.07852313312859405,1.6493194599234906,1.021752363990335,0.6675456473337447,3.110051793422296,1661395529.135473,0.053235711727310425,4.62721560083436,561.4460165645002,81.81124270082843
1.556499385900374,1.212874328839179,1.7505954958349728,0.2461510122670028,0.4658288505046301,2.6830745471818545,130.92258657103346,631.6557596310689,0.001630034830119531,-0.011079832126583686,5.723524301522179,-0.6277590898779648,2.1985554166728614,5.723524301522179,0.8829339141675837,1.0127044712290127,1662454664.4338093,0.3453087995457607,5.870801098709926,298.97198072281446,55.193758713370535
1.9404556120657215,1.8380622660932269,6.2066340757970355,0.24981641359577908,2.7753922368510335,23.692448801130105,22.40025790733307,36.97816225858032,-0.017704352705875406,-0.048916234851970164,5.168153919342862,-0.2749099587668513,1.8457062855617479,5.168153919342862,1.8926918546629834,2.5442956094270257,1667416822.5720592,0.9349393259740704,5.815518481083917,29.123395358907416,2.177323144315065
1.3545091819841386,1.105630375407413,2.940548279873058,0.2474414356082036,1.7630269063906605,13.648784264201126,324.0797825682833,1067.9639993013961,0.029518619476870372,0.04053819764192637,5.967768859956262,0.006834594918833314,1.5639617318760632,5.967768859956262,2.0727659712376116,0.7999772103111352,1648458319.6433487,0.9070505365251211,2.8327073143045234,596.2253356270304,80.91243794265101
1.2788787315439794,1.1856304675242522,3.283898953205049,0.249642100878495,2.063858078859038,16.54682637716838,460.48431513927125,718.0910297613005,-0.02291677487379258,-0.04087133232138665,4.559830152239336,0.39065014232642437,1.1801461844684722,4.559830152239336,1.8137959325582496,2.1410039455401417,1656040009.9703088,0.8983503964928442,0.7114956258403619,576.1285646336324,29.710003022457734
